leftLeg_px,leftLeg_py,leftLeg_pz,leftLeg_rx,leftLeg_ry,leftLeg_rz,leftLegJ_px,leftLegJ_py,leftLegJ_pz,leftLegJ_rx,leftLegJ_ry,leftLegJ_rz,rightLeg_px,rightLeg_py,rightLeg_pz,rightLeg_rx,rightLeg_ry,rightLeg_rz,rightLegJ_px,rightLegJ_py,rightLegJ_pz,rightLegJ_rx,rightLegJ_ry,rightLegJ_rz,leftArm_px,leftArm_py,leftArm_pz,leftArm_rx,leftArm_ry,leftArm_rz,leftArmJ_px,leftArmJ_py,leftArmJ_pz,leftArmJ_rx,leftArmJ_ry,leftArmJ_rz,rightArm_px,rightArm_py,rightArm_pz,rightArm_rx,rightArm_ry,rightArm_rz,rightArmJ_px,rightArmJ_py,rightArmJ_pz,rightArmJ_rx,rightArmJ_ry,rightArmJ_rz,chest_px,chest_py,chest_pz,chest_rx,chest_ry,chest_rz,body_px,body_py,body_pz,body_rx,body_ry,body_rz
0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,-0.4499831251898427,0.0,0.0,0.0,0.0,0.0,0.4499831251898427,0.0,0.0,0.0,0.0,0.0,0.4499831251898427,0.0,0.0,0.0,0.0,0.0,-0.07499718753164045,0.0,0.0,0.0,0.0,0.0,0.4499831251898427,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.4499831251898427,0.0,0.0,0.0,0.0,0.0,-0.5999775002531236,0.0,0.0,0.0,0.0,0.0,0.0,-0.1499943750632809,0.0,0.0,-0.0007499718753164045,-9.994,0.0,0.0,0.0
0.0,0.0,0.0,-0.8998650060748699,0.0,0.0,0.0,0.0,0.0,0.8998650060748699,0.0,0.0,0.0,0.0,0.0,0.8998650060748699,0.0,0.0,0.0,0.0,0.0,-0.1499775010124783,0.0,0.0,0.0,0.0,0.0,0.8998650060748699,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.8998650060748699,0.0,0.0,0.0,0.0,0.0,-1.1998200080998265,0.0,0.0,0.0,0.0,0.0,0.0,-0.2999550020249566,0.0,0.0,-0.001499775010124783,-9.994,0.0,0.0,0.0
0.0,0.0,0.0,-1.349544421129807,0.0,0.0,0.0,0.0,0.0,1.349544421129807,0.0,0.0,0.0,0.0,0.0,1.349544421129807,0.0,0.0,0.0,0.0,0.0,-0.22492407018830118,0.0,0.0,0.0,0.0,0.0,1.349544421129807,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.349544421129807,0.0,0.0,0.0,0.0,0.0,-1.7993925615064095,0.0,0.0,0.0,0.0,0.0,0.0,-0.44984814037660237,0.0,0.0,-0.002249240701883012,-9.982,0.0,0.0,0.0
0.0,0.0,0.0,-1.798920194383338,0.0,0.0,0.0,0.0,0.0,1.798920194383338,0.0,0.0,0.0,0.0,0.0,1.798920194383338,0.0,0.0,0.0,0.0,0.0,-0.299820032397223,0.0,0.0,0.0,0.0,0.0,1.798920194383338,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.798920194383338,0.0,0.0,0.0,0.0,0.0,-2.398560259177784,0.0,0.0,0.0,0.0,0.0,0.0,-0.599640064794446,0.0,0.0,-0.00299820032397223,-9.976,0.0,0.0,0.0
0.0,0.0,0.0,-2.24789121818227,0.0,0.0,0.0,0.0,0.0,2.24789121818227,0.0,0.0,0.0,0.0,0.0,2.24789121818227,0.0,0.0,0.0,0.0,0.0,-0.3746485363637117,0.0,0.0,0.0,0.0,0.0,2.24789121818227,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.24789121818227,0.0,0.0,0.0,0.0,0.0,-2.9971882909096936,0.0,0.0,0.0,0.0,0.0,0.0,-0.7492970727274234,0.0,0.0,-0.0037464853636371173,-9.97,0.0,0.0,0.0
0.0,0.0,0.0,-2.6963564759403313,0.0,0.0,0.0,0.0,0.0,2.6963564759403313,0.0,0.0,0.0,0.0,0.0,2.6963564759403313,0.0,0.0,0.0,0.0,0.0,-0.4493927459900552,0.0,0.0,0.0,0.0,0.0,2.6963564759403313,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.6963564759403313,0.0,0.0,0.0,0.0,0.0,-3.5951419679204415,0.0,0.0,0.0,0.0,0.0,0.0,-0.8987854919801104,0.0,0.0,-0.0044939274599005525,-9.964,0.0,0.0,0.0
0.0,0.0,0.0,-3.1442150648664744,0.0,0.0,0.0,0.0,0.0,3.1442150648664744,0.0,0.0,0.0,0.0,0.0,3.1442150648664744,0.0,0.0,0.0,0.0,0.0,-0.5240358441444124,0.0,0.0,0.0,0.0,0.0,3.1442150648664744,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-3.1442150648664744,0.0,0.0,0.0,0.0,0.0,-4.192286753155299,0.0,0.0,0.0,0.0,0.0,0.0,-1.0480716882888248,0.0,0.0,-0.005240358441444125,-9.958,0.0,0.0,0.0
0.0,0.0,0.0,-3.5913662186675808,0.0,0.0,0.0,0.0,0.0,3.5913662186675808,0.0,0.0,0.0,0.0,0.0,3.5913662186675808,0.0,0.0,0.0,0.0,0.0,-0.5985610364445968,0.0,0.0,0.0,0.0,0.0,3.5913662186675808,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-3.5913662186675808,0.0,0.0,0.0,0.0,0.0,-4.788488291556774,0.0,0.0,0.0,0.0,0.0,0.0,-1.1971220728891936,0.0,0.0,-0.005985610364445969,-9.952,0.0,0.0,0.0
0.0,0.0,0.0,-4.03770933022045,0.0,0.0,0.0,0.0,0.0,4.03770933022045,0.0,0.0,0.0,0.0,0.0,4.03770933022045,0.0,0.0,0.0,0.0,0.0,-0.6729515550367415,0.0,0.0,0.0,0.0,0.0,4.03770933022045,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-4.03770933022045,0.0,0.0,0.0,0.0,0.0,-5.383612440293932,0.0,0.0,0.0,0.0,0.0,0.0,-1.345903110073483,0.0,0.0,-0.006729515550367416,-9.946,0.0,0.0,0.0
